,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR
1750,005250,P308,3240,SPSQUARE,-8.0,-21.0,True,2.085099458694458,0.9394780397415161,12.84788990020752,11.128366470336914,0.8772420883178711,3.308659144810268,3.2949328219626186,4.2575108999723055,3.0172614433016776
1751,005253,P308,3240,SPSQUARE,-2.0,-26.0,False,1.5686500072479248,0.906174898147583,11.35588264465332,10.736332893371582,0.775178849697113,3.0458646842411587,3.520669775720333,4.428703541798385,3.2953680500192375
1752,005256,P299,121,SCAFE,-14.0,-6.0,True,3.260831832885742,0.9649437069892883,18.46030616760254,16.52365493774414,0.9452583193778992,3.3720694610050748,4.295179883363338,4.624854641268702,4.054842259766006
1753,005259,P299,121,SCAFE,-7.0,-15.0,False,2.4128427505493164,0.9763067364692688,19.243743896484375,18.645885467529297,0.9412025809288025,3.510613168988909,3.262956601376316,4.2331873795175445,2.97872849986753
1754,005262,P248,83,SPSQUARE,-8.0,-7.0,True,3.0819251537323,0.9847124218940735,24.32383918762207,23.11558723449707,0.9447184801101685,3.277190617152623,3.858014377836753,4.511694113239388,3.6093082656009563
1755,005265,P248,83,SPSQUARE,-12.0,-10.0,False,3.1675121784210205,0.9878397583961487,23.5334529876709,22.854726791381836,0.9582034349441528,3.0860914502825056,3.5361338504996063,4.282257712773117,3.2645225631171457
1756,005268,P248,4195,STRAFFIC,-3.0,-20.0,True,2.01100754737854,0.9262135028839111,15.698553085327148,13.680119514465332,0.8487483859062195,2.9218384878976003,2.893301821199864,4.31475883718091,2.631955040138529
1757,005271,P248,4195,STRAFFIC,-5.0,-12.0,False,2.9169673919677734,0.9719676375389099,21.22089195251465,20.677082061767578,0.9247816801071167,3.257409163883754,3.4500934076009915,4.540294490041407,3.270901624814919
1758,005274,P260,887,TMETRO,-8.0,-14.0,True,2.308941125869751,0.9802296757698059,17.09834861755371,15.991827011108398,0.9267714023590088,3.4040866238730296,4.304916106475624,4.766532374467018,4.129708925422865
1759,005277,P260,887,TMETRO,-11.0,-21.0,False,2.1897096633911133,0.9634682536125183,13.517144203186035,13.200729370117188,0.9058756828308105,3.2806971754346574,3.9306115182650507,4.525627110334841,3.6519530131787765
1760,005280,P317,4340,PCAFETER,-10.0,-27.0,True,1.3631691932678223,0.8078734874725342,10.134458541870117,8.541749000549316,0.5566469430923462,2.8743255138397217,2.79856333453552,3.73011773554317,2.3715850809653274
1761,005283,P317,4340,PCAFETER,-14.0,-21.0,False,1.5339751243591309,0.878839910030365,13.63625431060791,12.908756256103516,0.7459918856620789,2.813722474234445,2.441285732964995,3.7742636242558887,2.208096021971131
1762,005286,P288,1841,DLIVING,-11.0,-28.0,True,1.2361493110656738,0.8824504613876343,5.881206035614014,4.7076568603515625,0.7849019765853882,2.5500302655356273,1.9847565401951182,3.985302205997568,1.9351512814919622
1763,005289,P288,1841,DLIVING,-2.0,-5.0,False,3.000319004058838,0.9973936080932617,24.13657569885254,23.279020309448242,0.9935302138328552,2.7103169645581926,3.5261619837177753,4.335867389676379,3.2377686184965095
1764,005292,P237,83,DWASHING,-12.0,-5.0,True,3.1279685497283936,0.9891972541809082,19.242916107177734,17.739486694335938,0.9597774147987366,3.4621480873652866,4.058475604215076,4.241316161396109,3.6891003058420715
1765,005295,P237,83,DWASHING,-8.0,-13.0,False,3.5131213665008545,0.9918115735054016,21.502004623413086,21.191314697265625,0.9720535278320312,3.5233425412859236,4.137328039605796,4.427688966975043,3.8311897458262374
1766,005298,P295,6880,NRIVER,-7.0,-21.0,True,1.5942391157150269,0.8311281800270081,11.954365730285645,10.042847633361816,0.6374720335006714,2.8573081152779713,3.457153418383959,4.406692226936076,3.17797025805787
1767,005301,P295,6880,NRIVER,-10.0,-9.0,False,2.574866771697998,0.9721553921699524,20.39961051940918,19.730831146240234,0.9030026793479919,3.3068606172289168,3.885531792283906,4.542393997857858,3.5919726099779496
1768,005304,P269,8747,OMEETING,-11.0,-8.0,True,2.4695169925689697,0.9703710675239563,14.163434982299805,12.63619613647461,0.9268690347671509,3.3135747568947926,4.291159786591464,4.6377544912646345,4.039099430096282
1769,005307,P269,8747,OMEETING,-11.0,-9.0,False,2.443528652191162,0.9813593029975891,18.352685928344727,18.134695053100586,0.9473139643669128,3.4554652827126637,4.000471484792137,4.2564152263368,3.627945591330405
1770,005310,P308,260,OOFFICE,-1.0,-25.0,True,2.078465700149536,0.9491276144981384,16.824987411499023,14.782445907592773,0.8750242590904236,3.4101878234318326,3.8845632785001176,4.226656070164696,3.517355121957917
1771,005313,P308,260,OOFFICE,-7.0,-7.0,False,2.6454389095306396,0.9887696504592896,22.054101943969727,21.814289093017578,0.9574234485626221,3.4256903444017683,3.4617990442056876,3.693810260390781,3.026282067094492
1772,005316,P317,839,DKITCHEN,-7.0,-1.0,True,3.1333937644958496,0.9640963077545166,20.251508712768555,17.016189575195312,0.8734617829322815,3.3859327861240933,3.725112876464151,4.422734617299031,3.530351999757682
1773,005319,P317,839,DKITCHEN,-6.0,-27.0,False,2.287219762802124,0.9334333539009094,17.254655838012695,16.551156997680664,0.7569519281387329,3.185138361794608,3.44755768386947,4.066182540591069,3.090345589364383
1774,005322,P295,3240,TMETRO,-12.0,-28.0,True,1.7849462032318115,0.8045413494110107,11.832344055175781,10.259149551391602,0.6564629077911377,3.397317954472133,3.5350699835007924,4.230012946422705,3.2530900980891415
1775,005325,P295,3240,TMETRO,-2.0,-24.0,False,1.9102060794830322,0.8407419323921204,13.948933601379395,12.263306617736816,0.7290658354759216,3.467424120221819,4.040696161702119,4.461172356720311,3.766583477671016
1776,005328,P272,8468,NFIELD,-4.0,-13.0,True,3.063906192779541,0.9909355640411377,19.27510643005371,17.237895965576172,0.9696387648582458,3.7310020242418562,3.815557945718941,4.443162857202343,3.542371638388698
1777,005331,P272,8468,NFIELD,-15.0,-27.0,False,1.7617368698120117,0.9469708204269409,12.210973739624023,11.584586143493652,0.8406469225883484,3.487157549176897,3.6575411141515217,4.476429006998726,3.4028322469767276
1778,005334,P317,4859,PRESTO,-13.0,-27.0,True,1.4002031087875366,0.7980888485908508,8.315335273742676,6.7093706130981445,0.5664775371551514,2.2401647908346995,2.031772344573661,3.7293164387797395,1.7634934938408358
1779,005337,P317,4859,PRESTO,-5.0,-15.0,False,2.451287031173706,0.9366991519927979,16.298236846923828,15.773212432861328,0.8558359742164612,2.630228655678885,3.2130798373588183,3.9752662525614006,2.8443706330836127
1780,005340,P295,4195,OMEETING,-11.0,-15.0,True,1.7351068258285522,0.9127504229545593,13.25939655303955,12.34066390991211,0.7978026866912842,3.3924268654414584,3.377783345642083,3.9975340233605023,3.0756876640209607
1781,005343,P295,4195,OMEETING,-5.0,-25.0,False,1.5615918636322021,0.8798448443412781,11.380417823791504,10.827723503112793,0.7269833087921143,3.121346575873239,2.4540322746772083,3.4417711315650648,2.079731750610086
1782,005346,P299,1594,TMETRO,-1.0,-30.0,True,1.3611862659454346,0.7598090767860413,9.42221450805664,7.30213737487793,0.5948436260223389,2.696882281984602,3.117671593872818,4.19191801673847,2.8299998430854747
1783,005349,P299,1594,TMETRO,-15.0,-1.0,False,3.2607274055480957,0.9806340336799622,21.356136322021484,21.027103424072266,0.9694175124168396,3.0346291065216064,4.049476713527767,4.451667666763781,3.804366152491252
1784,005352,P237,61,OHALLWAY,-10.0,-8.0,True,2.608715534210205,0.958657443523407,17.65878677368164,15.933022499084473,0.866539716720581,3.4985576697758267,3.729023647226922,4.257363264451731,3.4060765950558194
1785,005355,P237,61,OHALLWAY,-14.0,-18.0,False,2.372297763824463,0.9521369934082031,14.674327850341797,14.129630088806152,0.8445028066635132,3.4948537349700928,3.2948950475238417,4.077905158409816,2.9760985991825772
1786,005358,P299,1580,SPSQUARE,-4.0,-15.0,True,2.904951810836792,0.978054940700531,20.87488555908203,18.872587203979492,0.9518589377403259,2.8751658712114607,3.80201020690838,4.410323341614013,3.5723393893291777
1787,005361,P299,1580,SPSQUARE,-2.0,-20.0,False,2.4749698638916016,0.965372622013092,18.60462188720703,17.74920082092285,0.9115749597549438,2.97730929510934,3.9536424794776437,4.4440047632380475,3.691906044759267
1788,005364,P237,3575,OMEETING,-4.0,-5.0,True,2.9980595111846924,0.9774446487426758,16.13172149658203,15.071956634521484,0.932658314704895,3.8800337655203685,3.4673982267034162,2.4789004995240305,2.457736578843227
1789,005367,P237,3575,OMEETING,0.0,-20.0,False,1.926546573638916,0.9279520511627197,9.328948020935059,8.928452491760254,0.8096832633018494,3.416203090122768,3.632226778838111,3.960610852479077,3.2539943061193206
1790,005370,P288,5561,PRESTO,-7.0,-14.0,True,2.128702402114868,0.9665241241455078,15.997525215148926,14.213781356811523,0.8902856707572937,2.833794253213065,3.211414102726162,4.391477973136381,3.033384011813619
1791,005373,P288,5561,PRESTO,-4.0,-7.0,False,2.446981191635132,0.9841510653495789,19.077465057373047,18.50397300720215,0.9313761591911316,3.0476867812020436,3.560808473003366,4.287520117382649,3.3062469342174827
1792,005376,P272,1081,OHALLWAY,0.0,-17.0,True,2.2780585289001465,0.9573135375976562,16.192657470703125,14.527748107910156,0.8904284238815308,3.526956217629569,3.7748638277368873,3.99890312011886,3.363864911143591
1793,005379,P272,1081,OHALLWAY,-8.0,-7.0,False,2.799915075302124,0.9764940738677979,18.14666175842285,17.862438201904297,0.9401957988739014,3.5826166357312883,3.8972953691030034,4.387110699095095,3.59301107400198
1794,005382,P361,8747,NPARK,0.0,-17.0,True,2.8431997299194336,0.9916326403617859,20.913007736206055,18.194196701049805,0.9743442535400391,3.478801795414516,3.9213202882264886,4.580355409927955,3.672020199098555
1795,005385,P361,8747,NPARK,-6.0,-3.0,False,3.500986337661743,0.9988219738006592,28.79117774963379,27.977182388305664,0.994678258895874,3.668961797441755,3.6833747367625844,4.494235591549247,3.4622528483667154
1796,005388,P308,5514,DKITCHEN,-15.0,-23.0,True,1.9499261379241943,0.8365081548690796,13.196012496948242,10.618916511535645,0.7312591075897217,3.287598133087158,4.056192804515005,4.539314895604598,3.7686773626726793
1797,005391,P308,5514,DKITCHEN,-7.0,-2.0,False,3.71185302734375,0.9167396426200867,24.298490524291992,23.654172897338867,0.8666368126869202,3.4997129440307617,3.9462527022434513,4.323467981374555,3.59353796700056
1798,005394,P237,1447,PRESTO,-14.0,-4.0,True,2.3493847846984863,0.9608055949211121,14.162776947021484,12.815006256103516,0.8467805981636047,3.245816264833723,4.03873819395402,4.648135087031536,3.7923432342807653
1799,005397,P237,1447,PRESTO,-6.0,-19.0,False,1.701993703842163,0.8852331042289734,9.343362808227539,8.796597480773926,0.6459628343582153,2.75178793498448,3.539152553781602,4.355013142898634,3.2442366383700594
1800,005400,P317,298,STRAFFIC,-6.0,-11.0,True,2.378206729888916,0.751681387424469,22.65116310119629,18.476699829101562,0.6668700575828552,2.842184679848807,3.920072230701322,4.34956678922856,3.5427046952104253
1801,005403,P317,298,STRAFFIC,-6.0,-27.0,False,1.851609706878662,0.731900691986084,12.975741386413574,11.706787109375,0.6031816005706787,2.8147216524396623,3.0912968537265,4.162818316541899,2.680174663069596
1802,005406,P295,7067,OOFFICE,-12.0,-15.0,True,2.6191294193267822,0.967190682888031,16.919845581054688,14.047235488891602,0.9081845879554749,2.9142161778041293,3.2845897300960707,4.296051157787764,3.011652972803757
1803,005409,P295,7067,OOFFICE,-8.0,-22.0,False,3.302220582962036,0.9900991916656494,22.90310287475586,22.27382469177246,0.9663046002388,3.1736082349504744,3.4499486430462127,4.416665472837843,3.1938293683685535
1804,005412,P269,8312,OOFFICE,-3.0,-22.0,True,3.0885798931121826,0.9865471720695496,16.852916717529297,14.779193878173828,0.9587813019752502,3.7345788138253346,4.349960295110546,4.514760142641883,4.094153513897747
1805,005415,P269,8312,OOFFICE,-11.0,-13.0,False,3.65470290184021,0.9960592985153198,21.711881637573242,21.339324951171875,0.98966383934021,3.7611191613333568,4.318860707641589,4.558668490177653,4.078714443965629
1806,005418,P269,1447,TCAR,-15.0,-4.0,True,2.443788528442383,0.9732469320297241,11.699450492858887,10.557365417480469,0.9375195503234863,3.553196464266096,4.042995720260902,4.523066498587733,3.7501376493853575
1807,005421,P269,1447,TCAR,-15.0,-29.0,False,2.453512668609619,0.9813292622566223,13.847911834716797,12.636813163757324,0.9378914833068848,3.4962118012564525,4.312607724215019,4.292453529490888,3.9380679391526328
1808,005424,P248,121,TBUS,-12.0,-3.0,True,3.2296595573425293,0.9787348508834839,18.627296447753906,17.751815795898438,0.9483017325401306,3.3258803571973528,3.7823894947965266,4.265925761765622,3.4282802117527247
1809,005427,P248,121,TBUS,-2.0,-5.0,False,3.7148354053497314,0.9930911064147949,24.76862907409668,24.299571990966797,0.9814672470092773,3.4329962389809743,3.463606942578636,3.675228296942385,2.952990201184414
1810,005430,P288,7517,SPSQUARE,-8.0,-5.0,True,3.1819441318511963,0.9909114837646484,21.45696449279785,18.119747161865234,0.9469122290611267,2.697929791041783,3.5424046723237064,4.221726785422272,3.269973842040269
1811,005433,P288,7517,SPSQUARE,-6.0,-19.0,False,3.197489023208618,0.9951550960540771,21.004243850708008,19.455753326416016,0.9444630146026611,2.6276839801243375,3.097708682642645,4.179237411565994,2.8360047630338068
1812,005436,P308,61,DLIVING,-12.0,-27.0,True,1.1461509466171265,0.6502618193626404,1.9914464950561523,0.8239204287528992,0.38113871216773987,2.7266667570386613,2.903511994723222,4.368706028160208,2.702771412933811
1813,005439,P308,61,DLIVING,-10.0,-20.0,False,1.520308017730713,0.8411398530006409,9.511529922485352,8.90145492553711,0.669169545173645,3.1608913285391673,3.7215293384409196,4.427489987825734,3.4513600601100296
1814,005442,P288,8838,NPARK,-10.0,-28.0,True,1.3357316255569458,0.8848662376403809,12.775308609008789,11.07496166229248,0.7298814058303833,2.7536042077200755,2.8249844369953956,4.471431744326951,2.717354818060676
1815,005445,P288,8838,NPARK,-11.0,-18.0,False,1.978725552558899,0.9442287087440491,15.940009117126465,14.989110946655273,0.859456479549408,3.2107211521693637,2.4984557138762016,4.183888221185179,2.3962663084459135
1816,005448,P317,1502,PRESTO,-1.0,-9.0,True,2.791926383972168,0.7360384464263916,18.75285530090332,16.966487884521484,0.5829931497573853,3.4163486616952077,3.72208665147165,4.345315467282454,3.4640775013044385
1817,005451,P317,1502,PRESTO,-15.0,-26.0,False,1.4532780647277832,0.5738003253936768,6.831063270568848,5.269176959991455,0.32159489393234253,2.7773526396070207,2.604611136060035,3.805696799139952,2.275059602569061
1818,005454,P272,2289,PCAFETER,-14.0,-13.0,True,1.8625491857528687,0.9074661731719971,7.888844966888428,6.595135688781738,0.825274646282196,2.9834935324532643,2.889413243740637,4.150549011092992,2.7046540563680397
1819,005457,P272,2289,PCAFETER,-8.0,-24.0,False,1.4223730564117432,0.8736952543258667,6.712971210479736,5.403562068939209,0.7773584127426147,2.8635537964957103,3.7276266721222333,3.8855548042938883,3.213437589818428
1820,005460,P361,6019,PSTATION,-2.0,-28.0,True,1.2454131841659546,0.8095801472663879,8.22242546081543,7.005711078643799,0.6008625030517578,2.7041747910635814,2.7488157835208282,3.9818967894191992,2.32709184326923
