,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR,PROCESSING_TIME
1677,005031,P295,7517,NFIELD,-5.0,-2.0,False,3.782247543334961,0.9988052845001221,27.41400909423828,26.750823974609375,0.9945932030677795,3.637774876185826,3.749016531313629,4.442992968334051,3.4789526356579117,0.01673293113708496
1678,005034,P299,7178,DLIVING,-13.0,-28.0,True,1.5990417003631592,0.8755688667297363,10.040815353393555,8.612686157226562,0.7478684186935425,2.8817680222647533,3.399899990561262,4.24729053703795,3.1261102253790445,0.016853809356689453
1679,005037,P299,7178,DLIVING,-7.0,-11.0,False,3.7047183513641357,0.9937782287597656,23.761260986328125,23.360746383666992,0.9784800410270691,3.2985641275133406,4.133242603829759,4.564324511358636,3.9134724153309266,0.016724348068237305
1680,005040,P237,6529,NPARK,-9.0,-4.0,True,2.7188098430633545,0.9698981642723083,18.138261795043945,16.964414596557617,0.9130927920341492,3.2844796180725098,3.930473440576722,4.497687457789288,3.62646777050582,0.01704883575439453
1681,005043,P237,6529,NPARK,-5.0,-21.0,False,1.2548925876617432,0.7608335018157959,12.128198623657227,11.444519996643066,0.5404980182647705,2.55220559665135,3.2923026657794767,3.873253643725945,2.9168385198753137,0.01670670509338379
1682,005046,P308,5514,PCAFETER,-12.0,-1.0,True,3.2002429962158203,0.9796834588050842,15.790626525878906,14.387234687805176,0.9524908661842346,3.3046115125928606,4.199241047457393,4.4256930338781455,3.8828674128617577,0.016946792602539062
1683,005049,P308,5514,PCAFETER,-13.0,-24.0,False,1.3270360231399536,0.8460903763771057,7.403473854064941,7.016902923583984,0.6394262909889221,2.85624030658177,3.351716769374359,3.8812795486407197,2.946224746870587,0.016544818878173828
1684,005052,P272,8580,STRAFFIC,-5.0,-25.0,True,1.8683347702026367,0.9208481907844543,12.298295021057129,11.807503700256348,0.7558825612068176,3.499338218144008,3.9566993378036144,4.51934790042119,3.717559960297142,0.016525983810424805
1685,005055,P272,8580,STRAFFIC,-5.0,-9.0,False,3.164226531982422,0.977131724357605,22.074365615844727,21.715795516967773,0.8982686996459961,3.7329675470079695,4.031556278529428,4.488662153853995,3.787425475215341,0.016614437103271484
1686,005058,P269,831,NPARK,-8.0,-15.0,True,3.0006661415100098,0.7437827587127686,19.5562686920166,17.10816192626953,0.6893193125724792,3.6604179995400563,4.105741808362792,4.50716420640422,3.819373261062676,0.017271757125854492
